Timestamp,Log Type,Actor,Interface Mode,Details
2026-04-16 21:49:49,ENVIRONMENT,Sensors,PC,IN: 25.2°C 67.2% | OUT: 26.2°C 52.0%
2026-04-16 21:49:51,ENVIRONMENT,Sensors,PC,IN: 25.2°C 67.2% | OUT: 26.2°C 52.0%
2026-04-16 21:49:51,ENVIRONMENT,Sensors,PC,IN: 25.2°C 67.2% | OUT: 26.2°C 52.0%
2026-04-16 21:49:54,ENVIRONMENT,Sensors,PC,IN: 25.1°C 67.2% | OUT: 26.2°C 52.0%
2026-04-16 21:49:54,ENVIRONMENT,Sensors,PC,IN: 25.1°C 67.2% | OUT: 26.2°C 51.9%
2026-04-16 21:49:57,ENVIRONMENT,Sensors,PC,IN: 25.0°C 67.2% | OUT: 26.2°C 51.9%
2026-04-16 21:49:57,ENVIRONMENT,Sensors,PC,IN: 25.0°C 67.1% | OUT: 26.2°C 51.9%
2026-04-16 21:50:00,ENVIRONMENT,Sensors,PC,IN: 25.0°C 67.1% | OUT: 26.2°C 51.9%
2026-04-16 21:50:01,ENVIRONMENT,Sensors,PC,IN: 25.0°C 67.2% | OUT: 26.2°C 51.9%
2026-04-16 21:50:01,ENVIRONMENT,Sensors,PC,IN: 25.0°C 67.2% | OUT: 26.2°C 51.7%
2026-04-16 21:50:03,ENVIRONMENT,Sensors,PC,IN: 24.9°C 67.2% | OUT: 26.2°C 51.7%
2026-04-16 21:50:03,ENVIRONMENT,Sensors,PC,IN: 24.9°C 67.2% | OUT: 26.2°C 51.6%
2026-04-16 21:50:06,ENVIRONMENT,Sensors,PC,IN: 24.9°C 67.2% | OUT: 26.2°C 51.6%
2026-04-16 21:50:06,ENVIRONMENT,Sensors,PC,IN: 24.9°C 67.3% | OUT: 26.2°C 51.6%
2026-04-16 21:50:09,ENVIRONMENT,Sensors,PC,IN: 24.9°C 67.3% | OUT: 26.2°C 51.6%
2026-04-16 21:50:09,ENVIRONMENT,Sensors,PC,IN: 24.9°C 67.4% | OUT: 26.2°C 51.5%
2026-04-16 21:50:12,ENVIRONMENT,Sensors,PC,IN: 24.8°C 67.4% | OUT: 26.2°C 51.5%
2026-04-16 21:50:12,ENVIRONMENT,Sensors,PC,IN: 24.8°C 67.4% | OUT: 26.2°C 51.5%
2026-04-16 21:50:15,ENVIRONMENT,Sensors,PC,IN: 24.8°C 67.4% | OUT: 26.2°C 51.5%
2026-04-16 21:50:15,ENVIRONMENT,Sensors,PC,IN: 24.8°C 67.4% | OUT: 26.2°C 51.5%
2026-04-16 21:50:15,ENVIRONMENT,Sensors,PC,IN: 24.8°C 67.4% | OUT: 26.2°C 51.4%
2026-04-16 21:50:18,ENVIRONMENT,Sensors,PC,IN: 24.9°C 67.4% | OUT: 26.2°C 51.4%
2026-04-16 21:50:18,ENVIRONMENT,Sensors,PC,IN: 24.9°C 67.3% | OUT: 26.2°C 51.4%
2026-04-16 21:50:21,ENVIRONMENT,Sensors,PC,IN: 24.8°C 67.3% | OUT: 26.2°C 51.4%
2026-04-16 21:50:21,ENVIRONMENT,Sensors,PC,IN: 24.8°C 67.3% | OUT: 26.2°C 51.4%
2026-04-16 21:50:24,ENVIRONMENT,Sensors,PC,IN: 24.8°C 67.3% | OUT: 26.2°C 51.4%
2026-04-16 21:50:24,ENVIRONMENT,Sensors,PC,IN: 24.8°C 67.3% | OUT: 26.2°C 51.3%
2026-04-16 21:50:27,ENVIRONMENT,Sensors,PC,IN: 24.8°C 67.3% | OUT: 26.2°C 51.3%
2026-04-16 21:50:27,ENVIRONMENT,Sensors,PC,IN: 24.8°C 67.3% | OUT: 26.2°C 51.3%
2026-04-16 21:50:27,ENVIRONMENT,Sensors,PC,IN: 24.8°C 67.3% | OUT: 26.2°C 51.3%
2026-04-16 21:50:30,ENVIRONMENT,Sensors,PC,IN: 24.8°C 67.3% | OUT: 26.2°C 51.3%
2026-04-16 21:50:30,ENVIRONMENT,Sensors,PC,IN: 24.8°C 67.4% | OUT: 26.2°C 51.3%
2026-04-16 21:50:30,ENVIRONMENT,Sensors,PC,IN: 24.8°C 67.4% | OUT: 26.2°C 51.2%
2026-04-16 21:50:33,ENVIRONMENT,Sensors,PC,IN: 24.7°C 67.4% | OUT: 26.2°C 51.2%
2026-04-16 21:50:33,ENVIRONMENT,Sensors,PC,IN: 24.7°C 67.4% | OUT: 26.2°C 51.2%
2026-04-16 21:50:36,ENVIRONMENT,Sensors,PC,IN: 24.6°C 67.4% | OUT: 26.2°C 51.2%
2026-04-16 21:50:36,ENVIRONMENT,Sensors,PC,IN: 24.6°C 67.6% | OUT: 26.2°C 51.1%
2026-04-16 21:50:39,ENVIRONMENT,Sensors,PC,IN: 24.6°C 67.6% | OUT: 26.2°C 51.1%
2026-04-16 21:50:39,ENVIRONMENT,Sensors,PC,IN: 24.6°C 67.6% | OUT: 26.2°C 51.1%
2026-04-16 21:50:42,ENVIRONMENT,Sensors,PC,IN: 24.5°C 67.6% | OUT: 26.2°C 51.1%
2026-04-16 21:50:42,ENVIRONMENT,Sensors,PC,IN: 24.5°C 67.7% | OUT: 26.2°C 50.9%
2026-04-16 21:50:45,ENVIRONMENT,Sensors,PC,IN: 24.5°C 67.7% | OUT: 26.2°C 50.9%
2026-04-16 21:50:45,ENVIRONMENT,Sensors,PC,IN: 24.5°C 67.7% | OUT: 26.2°C 50.9%
2026-04-16 21:50:48,ENVIRONMENT,Sensors,PC,IN: 24.5°C 67.7% | OUT: 26.2°C 50.9%
2026-04-16 21:50:48,ENVIRONMENT,Sensors,PC,IN: 24.5°C 67.5% | OUT: 26.1°C 50.9%
2026-04-16 21:51:14,ENVIRONMENT,Sensors,PC,IN: 24.5°C 67.0% | OUT: 26.1°C 50.5%
2026-04-16 21:51:15,ENVIRONMENT,Sensors,PC,IN: 24.5°C 67.0% | OUT: 26.1°C 50.5%
2026-04-16 21:51:15,ENVIRONMENT,Sensors,PC,IN: 24.5°C 67.0% | OUT: 26.1°C 50.5%
2026-04-16 21:51:18,ENVIRONMENT,Sensors,PC,IN: 24.5°C 67.0% | OUT: 26.1°C 50.5%
2026-04-16 21:51:18,ENVIRONMENT,Sensors,PC,IN: 24.5°C 66.9% | OUT: 26.1°C 50.5%
2026-04-16 21:51:21,ENVIRONMENT,Sensors,PC,IN: 24.6°C 66.9% | OUT: 26.1°C 50.5%
2026-04-16 21:51:21,ENVIRONMENT,Sensors,PC,IN: 24.6°C 66.8% | OUT: 26.1°C 50.5%
2026-04-16 21:51:24,ENVIRONMENT,Sensors,PC,IN: 24.6°C 66.8% | OUT: 26.1°C 50.5%
2026-04-16 21:51:24,ENVIRONMENT,Sensors,PC,IN: 24.6°C 66.8% | OUT: 26.1°C 50.4%
2026-04-16 21:51:27,ENVIRONMENT,Sensors,PC,IN: 24.6°C 66.8% | OUT: 26.1°C 50.4%
2026-04-16 21:51:27,ENVIRONMENT,Sensors,PC,IN: 24.6°C 66.9% | OUT: 26.1°C 50.4%
2026-04-16 21:51:30,ENVIRONMENT,Sensors,PC,IN: 24.6°C 66.9% | OUT: 26.1°C 50.4%
2026-04-16 21:51:30,ENVIRONMENT,Sensors,PC,IN: 24.6°C 66.8% | OUT: 26.1°C 50.4%
2026-04-16 21:51:30,ENVIRONMENT,Sensors,PC,IN: 24.6°C 66.8% | OUT: 26.1°C 50.3%
2026-04-16 21:51:33,ENVIRONMENT,Sensors,PC,IN: 24.6°C 66.8% | OUT: 26.1°C 50.3%
2026-04-16 21:51:33,ENVIRONMENT,Sensors,PC,IN: 24.6°C 66.7% | OUT: 26.1°C 50.3%
2026-04-16 21:51:36,ENVIRONMENT,Sensors,PC,IN: 24.6°C 66.7% | OUT: 26.1°C 50.3%
2026-04-16 21:51:36,ENVIRONMENT,Sensors,PC,IN: 24.6°C 66.6% | OUT: 26.1°C 50.2%
2026-04-16 21:51:39,ENVIRONMENT,Sensors,PC,IN: 24.7°C 66.6% | OUT: 26.1°C 50.2%
2026-04-16 21:51:39,ENVIRONMENT,Sensors,PC,IN: 24.7°C 66.5% | OUT: 26.1°C 50.2%
2026-04-16 21:51:42,ENVIRONMENT,Sensors,PC,IN: 24.6°C 66.5% | OUT: 26.1°C 50.2%
2026-04-16 21:51:42,ENVIRONMENT,Sensors,PC,IN: 24.6°C 66.4% | OUT: 26.1°C 50.1%
2026-04-16 21:51:45,ENVIRONMENT,Sensors,PC,IN: 24.6°C 66.4% | OUT: 26.1°C 50.1%
2026-04-16 21:51:45,ENVIRONMENT,Sensors,PC,IN: 24.6°C 66.4% | OUT: 26.1°C 50.1%
2026-04-16 21:51:45,ENVIRONMENT,Sensors,PC,IN: 24.6°C 66.4% | OUT: 26.0°C 50.1%
2026-04-16 21:51:48,ENVIRONMENT,Sensors,PC,IN: 24.7°C 66.4% | OUT: 26.0°C 50.1%
2026-04-16 21:51:48,ENVIRONMENT,Sensors,PC,IN: 24.7°C 66.3% | OUT: 26.1°C 50.1%
2026-04-16 21:51:51,ENVIRONMENT,Sensors,PC,IN: 24.7°C 66.3% | OUT: 26.1°C 50.1%
2026-04-16 21:51:51,ENVIRONMENT,Sensors,PC,IN: 24.7°C 66.2% | OUT: 26.1°C 50.1%
2026-04-16 21:51:54,ENVIRONMENT,Sensors,PC,IN: 24.7°C 66.2% | OUT: 26.1°C 50.1%
2026-04-16 21:51:54,ENVIRONMENT,Sensors,PC,IN: 24.7°C 66.1% | OUT: 26.0°C 50.0%
2026-04-16 21:51:57,ENVIRONMENT,Sensors,PC,IN: 24.7°C 66.1% | OUT: 26.0°C 50.0%
2026-04-16 21:51:57,ENVIRONMENT,Sensors,PC,IN: 24.7°C 66.1% | OUT: 26.0°C 49.9%
2026-04-16 21:52:00,ENVIRONMENT,Sensors,PC,IN: 24.7°C 66.1% | OUT: 26.0°C 49.9%
2026-04-16 21:52:00,ENVIRONMENT,Sensors,PC,IN: 24.7°C 66.0% | OUT: 26.0°C 49.9%
2026-04-16 21:52:00,ENVIRONMENT,Sensors,PC,IN: 24.7°C 66.0% | OUT: 26.0°C 49.9%
2026-04-16 21:52:03,ENVIRONMENT,Sensors,PC,IN: 24.7°C 66.0% | OUT: 26.0°C 49.9%
2026-04-16 21:52:03,ENVIRONMENT,Sensors,PC,IN: 24.7°C 65.8% | OUT: 26.0°C 49.8%
2026-04-16 21:52:06,ENVIRONMENT,Sensors,PC,IN: 24.7°C 65.8% | OUT: 26.0°C 49.8%
2026-04-16 21:52:06,ENVIRONMENT,Sensors,PC,IN: 24.7°C 65.7% | OUT: 26.0°C 49.7%
2026-04-16 21:52:09,ENVIRONMENT,Sensors,PC,IN: 24.7°C 65.7% | OUT: 26.0°C 49.7%
2026-04-16 21:52:09,ENVIRONMENT,Sensors,PC,IN: 24.7°C 65.6% | OUT: 26.0°C 49.7%
2026-04-16 21:52:12,ENVIRONMENT,Sensors,PC,IN: 24.7°C 65.6% | OUT: 26.0°C 49.7%
2026-04-16 21:52:12,ENVIRONMENT,Sensors,PC,IN: 24.7°C 65.6% | OUT: 26.0°C 49.6%
2026-04-16 21:52:15,ENVIRONMENT,Sensors,PC,IN: 24.7°C 65.6% | OUT: 26.0°C 49.6%
2026-04-16 21:52:15,ENVIRONMENT,Sensors,PC,IN: 24.7°C 65.7% | OUT: 26.0°C 49.6%
2026-04-16 21:52:15,ENVIRONMENT,Sensors,PC,IN: 24.7°C 65.7% | OUT: 26.0°C 49.6%
2026-04-16 21:52:18,ENVIRONMENT,Sensors,PC,IN: 24.7°C 65.7% | OUT: 26.0°C 49.6%
2026-04-16 21:52:18,ENVIRONMENT,Sensors,PC,IN: 24.7°C 65.6% | OUT: 26.0°C 49.6%
2026-04-16 21:52:21,ENVIRONMENT,Sensors,PC,IN: 24.7°C 65.6% | OUT: 26.0°C 49.6%
2026-04-16 21:52:21,ENVIRONMENT,Sensors,PC,IN: 24.7°C 65.5% | OUT: 26.0°C 49.5%
2026-04-16 21:52:24,ENVIRONMENT,Sensors,PC,IN: 24.7°C 65.5% | OUT: 26.0°C 49.5%
2026-04-16 21:52:24,ENVIRONMENT,Sensors,PC,IN: 24.7°C 65.4% | OUT: 26.0°C 49.5%
2026-04-16 21:52:27,ENVIRONMENT,Sensors,PC,IN: 24.7°C 65.4% | OUT: 26.0°C 49.5%
2026-04-16 21:52:27,ENVIRONMENT,Sensors,PC,IN: 24.7°C 65.3% | OUT: 26.0°C 49.4%
2026-04-16 21:52:30,ENVIRONMENT,Sensors,PC,IN: 24.7°C 65.3% | OUT: 26.0°C 49.4%
2026-04-16 21:52:30,ENVIRONMENT,Sensors,PC,IN: 24.7°C 65.3% | OUT: 26.0°C 49.4%
2026-04-16 21:52:33,ENVIRONMENT,Sensors,PC,IN: 24.7°C 65.3% | OUT: 26.0°C 49.4%
2026-04-16 21:52:33,ENVIRONMENT,Sensors,PC,IN: 24.7°C 65.3% | OUT: 26.0°C 49.3%
2026-04-16 21:52:36,ENVIRONMENT,Sensors,PC,IN: 24.7°C 65.3% | OUT: 26.0°C 49.3%
2026-04-16 21:52:36,ENVIRONMENT,Sensors,PC,IN: 24.7°C 65.3% | OUT: 26.0°C 49.3%
2026-04-16 21:52:39,ENVIRONMENT,Sensors,PC,IN: 24.7°C 65.3% | OUT: 26.0°C 49.3%
2026-04-16 21:52:39,ENVIRONMENT,Sensors,PC,IN: 24.7°C 65.3% | OUT: 26.0°C 49.2%
2026-04-16 21:52:42,ENVIRONMENT,Sensors,PC,IN: 24.7°C 65.3% | OUT: 26.0°C 49.2%
2026-04-16 21:52:42,ENVIRONMENT,Sensors,PC,IN: 24.7°C 65.3% | OUT: 26.0°C 49.2%
2026-04-16 21:52:45,ENVIRONMENT,Sensors,PC,IN: 24.8°C 65.3% | OUT: 26.0°C 49.2%
2026-04-16 21:52:45,ENVIRONMENT,Sensors,PC,IN: 24.8°C 65.2% | OUT: 26.0°C 49.2%
2026-04-16 21:52:45,ENVIRONMENT,Sensors,PC,IN: 24.8°C 65.2% | OUT: 26.0°C 49.2%
2026-04-16 21:52:48,ENVIRONMENT,Sensors,PC,IN: 24.8°C 65.2% | OUT: 26.0°C 49.2%
2026-04-16 21:52:48,ENVIRONMENT,Sensors,PC,IN: 24.8°C 65.2% | OUT: 25.9°C 49.2%
2026-04-16 21:52:51,ENVIRONMENT,Sensors,PC,IN: 24.8°C 65.2% | OUT: 25.9°C 49.2%
2026-04-16 21:52:51,ENVIRONMENT,Sensors,PC,IN: 24.8°C 65.2% | OUT: 25.9°C 49.1%
2026-04-16 21:52:54,ENVIRONMENT,Sensors,PC,IN: 24.8°C 65.2% | OUT: 25.9°C 49.1%
2026-04-16 21:52:54,ENVIRONMENT,Sensors,PC,IN: 24.8°C 65.1% | OUT: 26.0°C 49.1%
2026-04-16 21:52:57,ENVIRONMENT,Sensors,PC,IN: 24.8°C 65.1% | OUT: 26.0°C 49.1%
2026-04-16 21:52:57,ENVIRONMENT,Sensors,PC,IN: 24.8°C 65.1% | OUT: 26.0°C 49.1%
2026-04-16 21:53:00,ENVIRONMENT,Sensors,PC,IN: 24.8°C 65.1% | OUT: 26.0°C 49.1%
2026-04-16 21:53:00,ENVIRONMENT,Sensors,PC,IN: 24.8°C 65.0% | OUT: 26.0°C 49.1%
2026-04-16 21:53:00,ENVIRONMENT,Sensors,PC,IN: 24.8°C 65.0% | OUT: 25.9°C 49.0%
2026-04-16 21:53:03,ENVIRONMENT,Sensors,PC,IN: 24.8°C 65.0% | OUT: 25.9°C 49.0%
2026-04-16 21:53:03,ENVIRONMENT,Sensors,PC,IN: 24.8°C 65.0% | OUT: 25.9°C 49.0%
2026-04-16 21:53:06,ENVIRONMENT,Sensors,PC,IN: 24.8°C 65.0% | OUT: 25.9°C 49.0%
2026-04-16 21:53:06,ENVIRONMENT,Sensors,PC,IN: 24.8°C 65.0% | OUT: 25.9°C 49.0%
2026-04-16 21:53:09,ENVIRONMENT,Sensors,PC,IN: 24.8°C 65.0% | OUT: 25.9°C 49.0%
2026-04-16 21:53:09,ENVIRONMENT,Sensors,PC,IN: 24.8°C 64.9% | OUT: 25.9°C 49.0%
2026-04-16 21:53:12,ENVIRONMENT,Sensors,PC,IN: 24.8°C 64.9% | OUT: 25.9°C 49.0%
2026-04-16 21:53:12,ENVIRONMENT,Sensors,PC,IN: 24.8°C 64.9% | OUT: 25.9°C 49.0%
2026-04-16 21:53:12,ENVIRONMENT,Sensors,PC,IN: 24.8°C 64.9% | OUT: 25.9°C 48.9%
2026-04-16 21:53:15,ENVIRONMENT,Sensors,PC,IN: 24.8°C 64.9% | OUT: 25.9°C 48.9%
2026-04-16 21:53:15,ENVIRONMENT,Sensors,PC,IN: 24.8°C 64.8% | OUT: 25.9°C 48.9%
2026-04-16 21:53:15,ENVIRONMENT,Sensors,PC,IN: 24.8°C 64.8% | OUT: 25.9°C 48.8%
2026-04-16 21:53:18,ENVIRONMENT,Sensors,PC,IN: 24.9°C 64.8% | OUT: 25.9°C 48.8%
2026-04-16 21:53:18,ENVIRONMENT,Sensors,PC,IN: 24.9°C 64.8% | OUT: 25.9°C 48.8%
2026-04-16 21:53:21,ENVIRONMENT,Sensors,PC,IN: 24.9°C 64.8% | OUT: 25.9°C 48.8%
2026-04-16 21:53:21,ENVIRONMENT,Sensors,PC,IN: 24.9°C 64.8% | OUT: 25.9°C 48.8%
2026-04-16 21:53:24,ENVIRONMENT,Sensors,PC,IN: 24.9°C 64.8% | OUT: 25.9°C 48.8%
2026-04-16 21:53:24,ENVIRONMENT,Sensors,PC,IN: 24.9°C 64.8% | OUT: 25.9°C 48.8%
2026-04-16 21:53:27,ENVIRONMENT,Sensors,PC,IN: 24.9°C 64.8% | OUT: 25.9°C 48.8%
2026-04-16 21:53:27,ENVIRONMENT,Sensors,PC,IN: 24.9°C 64.8% | OUT: 25.9°C 48.8%
2026-04-16 21:53:30,ENVIRONMENT,Sensors,PC,IN: 24.9°C 64.8% | OUT: 25.9°C 48.8%
2026-04-16 21:53:31,ENVIRONMENT,Sensors,PC,IN: 24.9°C 64.6% | OUT: 25.9°C 48.8%
2026-04-16 21:53:31,ENVIRONMENT,Sensors,PC,IN: 24.9°C 64.6% | OUT: 25.9°C 48.8%
2026-04-16 21:53:33,ENVIRONMENT,Sensors,PC,IN: 25.0°C 64.6% | OUT: 25.9°C 48.8%
2026-04-16 21:53:33,ENVIRONMENT,Sensors,PC,IN: 25.0°C 64.4% | OUT: 25.9°C 48.7%
2026-04-16 21:53:36,ENVIRONMENT,Sensors,PC,IN: 25.0°C 64.4% | OUT: 25.9°C 48.7%
2026-04-16 21:53:36,ENVIRONMENT,Sensors,PC,IN: 25.0°C 64.3% | OUT: 25.9°C 48.6%
2026-04-16 21:53:39,ENVIRONMENT,Sensors,PC,IN: 25.0°C 64.3% | OUT: 25.9°C 48.6%
2026-04-16 21:53:39,ENVIRONMENT,Sensors,PC,IN: 25.0°C 64.2% | OUT: 25.9°C 48.6%
2026-04-16 21:53:42,ENVIRONMENT,Sensors,PC,IN: 25.0°C 64.2% | OUT: 25.9°C 48.6%
2026-04-16 21:53:42,ENVIRONMENT,Sensors,PC,IN: 25.0°C 64.2% | OUT: 25.9°C 48.5%
2026-04-16 21:53:45,ENVIRONMENT,Sensors,PC,IN: 25.0°C 64.2% | OUT: 25.9°C 48.5%
2026-04-16 21:53:45,ENVIRONMENT,Sensors,PC,IN: 25.0°C 64.1% | OUT: 25.9°C 48.5%
2026-04-16 21:53:45,ENVIRONMENT,Sensors,PC,IN: 25.0°C 64.1% | OUT: 25.9°C 48.5%
2026-04-16 21:53:48,ENVIRONMENT,Sensors,PC,IN: 25.0°C 64.1% | OUT: 25.9°C 48.5%
2026-04-16 21:53:48,ENVIRONMENT,Sensors,PC,IN: 25.0°C 64.0% | OUT: 25.9°C 48.5%
2026-04-16 21:53:51,ENVIRONMENT,Sensors,PC,IN: 24.9°C 64.0% | OUT: 25.9°C 48.5%
2026-04-16 21:53:51,ENVIRONMENT,Sensors,PC,IN: 24.9°C 64.0% | OUT: 25.9°C 48.5%
2026-04-16 21:53:54,ENVIRONMENT,Sensors,PC,IN: 24.9°C 64.0% | OUT: 25.9°C 48.5%
2026-04-16 21:53:54,ENVIRONMENT,Sensors,PC,IN: 24.9°C 63.9% | OUT: 25.8°C 48.4%
2026-04-16 21:53:57,ENVIRONMENT,Sensors,PC,IN: 24.9°C 63.9% | OUT: 25.8°C 48.4%
2026-04-16 21:53:57,ENVIRONMENT,Sensors,PC,IN: 24.9°C 64.0% | OUT: 25.8°C 48.4%
2026-04-16 21:54:00,ENVIRONMENT,Sensors,PC,IN: 24.9°C 64.0% | OUT: 25.8°C 48.4%
2026-04-16 21:54:00,ENVIRONMENT,Sensors,PC,IN: 24.9°C 64.0% | OUT: 25.8°C 48.4%
2026-04-16 21:54:03,ENVIRONMENT,Sensors,PC,IN: 24.9°C 64.0% | OUT: 25.8°C 48.4%
2026-04-16 21:54:03,ENVIRONMENT,Sensors,PC,IN: 24.9°C 64.1% | OUT: 25.8°C 48.3%
2026-04-16 21:54:06,ENVIRONMENT,Sensors,PC,IN: 24.9°C 64.1% | OUT: 25.8°C 48.3%
2026-04-16 21:54:06,ENVIRONMENT,Sensors,PC,IN: 24.9°C 64.0% | OUT: 25.8°C 48.3%
2026-04-16 21:54:09,ENVIRONMENT,Sensors,PC,IN: 24.9°C 64.0% | OUT: 25.8°C 48.3%
2026-04-16 21:54:09,ENVIRONMENT,Sensors,PC,IN: 24.9°C 63.9% | OUT: 25.8°C 48.3%
2026-04-16 21:54:12,ENVIRONMENT,Sensors,PC,IN: 24.9°C 63.9% | OUT: 25.8°C 48.3%
2026-04-16 21:54:12,ENVIRONMENT,Sensors,PC,IN: 24.9°C 63.8% | OUT: 25.8°C 48.3%
